accession,prop_value
NCT00195507:I.3009,Fumarate
NCT00195507:I.3010,"Dermatosis (Skin disorder, Dermatological disease)"
NCT00195507:I.3011,"Systemic Therapy"
NCT00204321:I.1001,"18 Years to 75 Years"
NCT00204321:I.1002,"renal transplantation stable function"
NCT00204321:I.2001,"acute rejection"
NCT00204321:I.3001,Age
NCT00204321:I.3002,"Therapeutic procedure"
NCT00204321:I.3003,Diagnosis
NCT00204321:I.3004,"Renal transplant"
NCT00204321:I.3005,"Functional status of graft"
NCT00204321:I.3006,"Acute rejection of renal transplant"
NCT00204334:I.1001,"18 Years to 75 Years"
NCT00204334:I.1002,"kidney transplant recipient stable kidney function"
NCT00204334:I.1003,"Hb between 10mg/ml and 10.5mg/ml"
NCT00204334:I.2001,"acute rejection"
NCT00204334:I.2002,"Hb above 12.0mg/dl"
NCT00204334:I.3001,Age
NCT00204334:I.3002,"Renal transplant"
NCT00204334:I.3003,"kidney function"
NCT00204334:I.3004,Stability
NCT00204334:I.3005,Hemoglobin
NCT00204334:I.3006,"Acute rejection of renal transplant"
NCT00206167:I.1001,"40 Years and older"
NCT00206167:I.1002,both
NCT00206167:I.1003,"A clinical diagnosis of COPD with symptoms for more than 2 years"
NCT00206167:I.1004,"Smoking history of 10 or more pack years"
NCT00206167:I.1005,"COPD exacerbation within 1-12 months before first visit"
NCT00206167:I.2001,"A history of asthma"
NCT00206167:I.2002,"Patients taking oral steroids"
NCT00206167:I.2003,"Any significant disease or disorder that may jeopardize the safety of the patient"
NCT00214578:I.1001,"Age 18 Years to 65 Years"
NCT00214578:I.1002,"In- or outpatients with schizophrenia, 18-65 years old, requiring a change in treatment due to insufficient efficacy or tolerability and giving signed informed consent."
NCT00214578:I.2001,"Known diabetes mellitus, high HbA1c, fasting plasma glucose and/or high 2h glucose-OGTT"
NCT00214578:I.2002,"Previous use of atypicals (3 months) or other medications that might influence glucose metabolism"
NCT00214578:I.2003,"Contraindications or non-responsiveness for any of the treatments or other safety issues"
NCT00214578:I.2004,"Expected non-compliance to treatment and/or study procedures"
NCT00214578:I.3001,Age
NCT00214578:I.3002,Diagnosis
NCT00214578:I.3003,"Schizophrenic disorders"
NCT00214578:I.3004,"Treatment changed"
NCT00214578:I.3005,Effectiveness
NCT00214578:I.3006,"Informed Consent"
NCT00214578:I.3007,"Diabetes mellitus"
NCT00214578:I.3008,"Hemoglobin A1c (HbA1c)"
NCT00214578:I.3009,"Oral Glucose Tolerance Test (OGTT)"
NCT00214578:I.3010,"Plasma fasting glucose level"
NCT00214578:I.3011,Medication
NCT00214578:I.3012,"Treatment noncompliance"
NCT00220779:I.1001,"18 Years to 55 Years"
NCT00220779:I.1003,"Symptoms consistent with Multiple Sclerosis up to 5 years"
NCT00220779:I.1004,"Diagnosis of multiple sclerosis according to McDonald criteria."
NCT00220779:I.1005,"Diagnosis of relapsing-remitting (RR) multiple sclerosis (MS) (Defined as periods of worsening of neurological function with full recovery or with sequelae and residual deficit upon recovery, periods between disease relapses characterized by lack of disease progression)"
NCT00220779:I.1006,"Kurtzke Extended Disability Status Scale (EDSS)<5.0"
NCT00220779:I.1007,"Females or males, females of childbearing potential must use adequate contraception"
NCT00220779:I.1008,"Clinically stable for at least 30 days prior to entry"
NCT00220779:I.1009,"At least 9 hyperintense T2 lesions on MRI or 1 Gd-enhancing lesion according to McDonald/Barkhof dissemination-in-space criteria at entry"
NCT00220779:I.1010,"Written informed consent obtained prior to the initiation of any study related procedures"
NCT00220779:I.2001,"Females who are pregnant, breast feeding, or if, of childbearing potential, unwilling to practice adequate contraception throughout the study"
NCT00220779:I.2002,"Prior therapy with azathioprine or any immunosuppressant agents within 6 months prior to study entry"
NCT00220779:I.2003,"Prior steroid, methylprednisolone or adrenocorticotropic hormone (ACTH) therapy within 30 days prior to study entry"
NCT00220779:I.2004,"Therapy with interferons (Betaseron(R), Avonex(R), Rebif(R)), glatiramer acetate (Copaxone(R)) or IGIV within 3 months prior to study entry or during the study"
NCT00220779:I.2005,"Use of an investigational compound within 6 months prior to study entry"
NCT00220779:I.2006,"Cardiac insufficiency (NYHA III/IV), cardiomyopathy, significant cardiac dysrhythmia requiring treatment, unstable or advanced ischemic heart disease (CCS III or IV), or malignant hypertension"
NCT00220779:I.2007,"History of renal insufficiency or serum creatinine levels greater than 2.5 mg/dL (221 umol/L)"
NCT00220779:I.2008,"Known selective IgA deficiency or known antibodies to IgA"
NCT00220779:I.2009,"Conditions whose symptoms and effects could alter protein catabolism and/or IgG utilization (e.g., protein-losing enteropathies, nephrotic syndrome)"
NCT00220779:I.3001,age
NCT00220779:I.3003,diagnosis
NCT00220779:I.3004,Medication
NCT00220779:I.3005,"Multiple Sclerosis"
NCT00220779:I.3006,Symptoms
NCT00220779:I.3007,"Multiple Sclerosis, Relapsing-Remitting"
NCT00220779:I.3008,"Stable Disease"
NCT00220779:I.3009,Contraception
NCT00220779:I.3010,"Hyperintense lesions in the basal ganglia on MRI"
NCT00220779:I.3011,"Informed Consent"
NCT00220779:I.3012,pregnant
NCT00220779:I.3013,"Mother currently breast-feeding"
NCT00220779:I.3014,"Immunomodulatory or immunosuppressive therapy"
NCT00220779:I.3015,"Therapeutic Corticosteroid"
NCT00220779:I.3016,steroids
NCT00220779:I.3017,Interferons
NCT00220779:I.3018,"Immunoglobulins, Intravenous"
NCT00220779:I.3019,"glatiramer acetate"
NCT00220779:I.3020,"Cardiac disorder"
NCT00220779:I.3021,"Renal Insufficiency"
NCT00220779:I.3022,"Immunoglobulin A deficiency"
NCT00220779:I.3023,"regulation of protein catabolic process"
NCT00221000:I.1001,"18 Years and older"
NCT00221000:I.1002,"Patients must have a history of RA per the ACR criteria for the classification of RA"
NCT00221000:I.1003,"Patients must have moderately to severely active RA"
NCT00221000:I.1004,"Patients who are not on oral corticosteroids OR Patients who have been on a stable dose of oral corticosteroids at a prednisone equivalent dosage greater than or equal to 15 mg/day for at least 4 weeks prior to screening."
NCT00221000:I.1005,"Patients must have a platelet count greater than or equal to 100,000/cmm."
NCT00221000:I.1006,"Female patients must be one of the following: postmenopausal, surgically incapable of bearing children, practicing an acceptable method of birth control (acceptable methods may include hormonal contraceptives, intrauterine device, and spermicide and barrier). Abstinence or partner/spouse sterility may also qualify at the Investigator's discretion. If a female patient is of childbearing potential, she must have a negative urine pregnancy test at screening."
NCT00221000:I.1007,"Patients must be able and willing to comply with all study procedures"
NCT00221000:I.1008,"Patients must be willing to sign an ICF"
NCT00221000:I.1009,"Patients must have a body weight greater than or equal to 40 kg (88 lb)."
NCT00221000:I.2001,"Patients who have a form of arthritis or arthropathy, other than RA, or any current inflammatory condition that might confound the assessments (e.g., other connective tissue diseases or Lyme disease)."
NCT00221000:I.2002,"Patients who have been enrolled in any investigational therapy study for the treatment of RA within 4 weeks prior to the start of the Treatment Period, or patients who are scheduled to receive investigational therapies or a plasma based apheresis procedure (e.g., a protein A column) for the treatment of RA during the course of the study."
NCT00221000:I.2003,"Patients unable to tolerate the extracorporeal volume shifts associated with ECP treatment due to the presence of any of the following conditions: uncompensated congestive heart failure, pulmonary edema, severe chronic obstructive pulmonary disease, severe asthma, renal failure, or hepatic failure."
NCT00221000:I.2004,"Patients with a poor tolerability of venipuncture or a lack of adequate venous access for required treatments and blood sampling."
NCT00221000:I.2005,"Patients who have a known hypersensitivity or allergy to psoralen (methoxsalen)"
NCT00221000:I.2006,"Patients who have a known hypersensitivity or allergy to both heparin and citrate products"
NCT00221000:I.2007,"Patients who are taking any of the following permitted DMARDs and biological agents and have not been on a stable dose for the specific indicated periods of time prior to screening: MTX for at least 8 weeks; leflunomide for at least 8 weeks; infliximab for at least 14 weeks; etanercept for at least 12 weeks; adalimumab for at least 12 weeks"
NCT00221000:I.2008,"Patients who are taking any of the following permitted medications and have not been on a stable dose for at least 4 weeks prior to screening: NSAIDs; anakinra; hydroxychloroquine; chloroquine; sulfasalazine; D-penicillamine; gold salts; azathioprine; oral corticosteroids (greater than or equal to 15 mg/day, prednisone equivalent dose)."
NCT00221000:I.2009,"Patients whom the Investigator believes cannot be maintained on stable doses of permitted concomitant RA medications throughout the Treatment Period"
NCT00221000:I.2010,"Patients who are taking any of the following prohibited medications: cyclophosphamide; chlorambucil; intramuscular (IM) or intravenous (IV) corticosteroid injection(s), within 4 weeks of screening; intra-articular corticosteroid injection(s)>60 mg prednisone equivalent total dose, within 4 weeks of screening"
NCT00221000:I.2011,"Patients who have any known malignant disease (other than basal cell carcinoma) currently or within the last 5 years"
NCT00221000:I.2012,"Patients who have a pre-existing blood dyscrasia such as bone marrow hypoplasia, leukopenia, thrombocytopenia, significant anemia, or a coagulation disorder"
NCT00221000:I.2013,"Patients with a persistent or severe infection within 12 weeks of screening."
NCT00221000:I.2014,"Patients with a history of drug or alcohol abuse within 12 weeks of screening."
NCT00221000:I.2015,"Patients with impaired hepatic function at screening as shown by abnormal liver function tests (LFT; i.e., aspartate transaminase [AST] or alanine transaminase [ALT]levels>2 x the upper limit of normal [ULN])"
NCT00221000:I.2016,"Women who are pregnant or lactating"
NCT00221000:I.3001,Age
NCT00221000:I.3002,Diagnosis
NCT00221000:I.3003,"Rheumatoid Arthritis"
NCT00221000:I.3004,Moderately
NCT00221000:I.3006,"C-Reactive Protein Measurement"
NCT00221000:I.3007,Medication
NCT00221000:I.3008,Methotrexate
NCT00221000:I.3009,"Therapeutic Corticosteroid"
NCT00221000:I.3010,"Platelet count - finding"
NCT00221000:I.3011,Contraception
NCT00221000:I.3012,Compliance
NCT00221000:I.3013,"Informed Consent"
NCT00221000:I.3014,Weight
NCT00221000:I.3015,Arthritis
NCT00221000:I.3016,Inflammation
NCT00221000:I.3017,Enrollment
NCT00221000:I.3018,"Chronic congestive heart failure"
NCT00221000:I.3019,"Lung diseases"
NCT00221000:I.3020,"Renal Insufficiency"
NCT00221000:I.3021,"Hepatic Insufficiency"
NCT00221000:I.3022,Hypersensitivity
NCT00221000:I.3023,"Nonsteroidal Antiinflammatory Drug"
NCT00221000:I.3024,"Malignant Neoplasms"
NCT00221000:I.3025,"White Blood Cell Count procedure (WBC)"
NCT00221000:I.3026,Hemoglobin
NCT00221000:I.3027,"Blood Coagulation Disorders"
NCT00221000:I.3028,Infection
NCT00221000:I.3029,"Alcohol abuse"
NCT00221000:I.3030,"Drug abuse"
NCT00221000:I.3031,"GOT (Serum)"
NCT00221000:I.3032,"GPT (Serum)"
NCT00221000:I.3033,pregnant
NCT00221000:I.3034,"Breast feeding, Nursing"
NCT00225186:I.1001,"18 to 45 years"
NCT00225186:I.1002,"Female patients with endometriosis-associated pelvic pain"
NCT00225186:I.2001,"Pregnant or lactating women"
NCT00225186:I.2002,"History or suspicion of hormone dependent tumor"
NCT00225186:I.2003,"Therapy resistant endometriosis or need for primary surgical treatment"
NCT00225186:I.2004,"Any other conditions which forbid the participation"
NCT00225186:I.3001,Age
NCT00225186:I.3002,Diagnosis
NCT00225186:I.3003,Gender
NCT00225186:I.3004,"Endometriosis, site unspecified"
NCT00225186:I.3005,Pain
NCT00225186:I.3006,pregnant
NCT00225186:I.3007,"Breast feeding, Nursing"
NCT00225186:I.3008,"Malignant Neoplasms"
NCT00226408:I.1001,"18 Years to 70 Years"
NCT00226408:I.1002,"Histological documented cutaneous malignant melanoma Stage IIIa, IIIb, IIIc (AJCC 2002)"
NCT00226408:I.1003,"R0 resection dating back no longer than 56 days"
NCT00226408:I.1004,"Performance status (ECOG 0-1)"
NCT00226408:I.1005,"Bone marrow funktion: White cell count>3000 cells/ul, platletts>100000 cells/ul, hemoglobin>10 g/dl"
NCT00226408:I.1006,"Liver and kidney funktion: Serum creatinin<1.5 times upper limit of normal, AST and ALT<2.5 times upper limit of normal, Serum bilirubin<2 times upper limit of normal"
NCT00226408:I.1007,"Written inform consent"
NCT00226408:I.2001,"Confirmed distant metastasis"
NCT00226408:I.2002,"Choroid or mucosal melanoma"
NCT00226408:I.2003,"Pregnant or lactating women and women of childbearing potential not using a reliable form of contraception"
NCT00226408:I.2004,"Active autoimmun disease"
NCT00226408:I.2005,"patients with history of neuropsychiatric disease requiring hospitalization"
NCT00226408:I.2006,"Severe medical condition such us: Florid hepatitis, Severe acute infection, Myocardial infarction within the past year, symptomatic angina pectoris, Grade III to IV congestive heart failure, serious pulmonary disease, HIV-positive patients with an AIDS - defining condition"
NCT00226408:I.2007,"treatment in another clinical drug trial within the last 30 days"
